phase,index,case,effort,thinking_budget_tokens,max_tokens,reasoning_deltas,reasoning_chars,reasoning_utf8,content_deltas,content_chars,content_utf8,production_bytesRead,production_decodedChunkCount,production_frames,full_observer_bytes,observer_chunks,full_frames,done,finish_reason,hard_ceiling,production_utilization_percent,full_response_utilization_percent,terminal,error,http_status,capture_error,duration_ms,evidence_file,raw_sha256
"baseline","0","short","high","inherited","inherited","893","3488","4092","61","123","337","243611","955","955","243611","955","955","true","stop","262144","92.93","92.93","text","","200","","12576",".tmp/vela-f6/baseline-0-short-1788596747241.json","1a38b3b6c63c13942d5395cb3a92f3ffe587aa1de2c509fca7282f5c727f755b"
"baseline","1","medium","high","inherited","inherited","1322","5409","5529","573","1028","2554","262176","1026","1026","478399","1896","1896","true","stop","262144","100.01","182.49","error","PROVIDER_RESPONSE_TOO_LARGE","200","","24194",".tmp/vela-f6/baseline-1-medium-1788596771438.json","e1c09e50f782454a707e542bdb7ab74d19a3b40d537c27c757d319b5d296ce25"
"baseline","2","long","high","inherited","inherited","5574","13045","24207","299","491","1371","262331","1031","1031","1491362","5874","5874","true","stop","262144","100.07","568.91","error","PROVIDER_RESPONSE_TOO_LARGE","200","","77243",".tmp/vela-f6/baseline-2-long-1788596848685.json","6c263758e3589d15c3462d2509274615b3bd82ec9923dc4e4bd31fa0c4a1cc5b"
"baseline","3","proposal","high","inherited","inherited","4775","20371","20371","145","336","336","262307","1032","1032","1250144","4921","4921","true","stop","262144","100.06","476.89","error","PROVIDER_RESPONSE_TOO_LARGE","200","","64533",".tmp/vela-f6/baseline-3-proposal-1788596913225.json","6762c18f83f403dc7de78f9038f36f6f8de2baef7bb64674e3e19ac61ba5f5bd"
"baseline","4","logical","high","inherited","inherited","5513","24204","24204","192","480","480","262163","1029","1029","1450030","5706","5706","true","stop","262144","100.01","553.14","error","PROVIDER_RESPONSE_TOO_LARGE","200","","75186",".tmp/vela-f6/baseline-4-logical-1788596988415.json","1c1462fcf413ff3fc6cea95f12fdfb19f803df3c6c8e13bbe88efa58b56c25e6"
"baseline","5","medium","none","inherited","inherited","0","0","0","581","1051","2427","143320","582","582","143320","582","582","true","stop","262144","54.67","54.67","text","","200","","7604",".tmp/vela-f6/baseline-5-medium-1788596996023.json","7c69452405de0f06f2c6b08475d066977039d85bc46ae779f3d7a9e2e2e26fef"
"baseline","6","overflow","high","inherited","inherited","1188","4565","5497","35","73","191","262391","1029","1029","311454","1224","1224","true","stop","262144","100.09","118.81","error","PROVIDER_RESPONSE_TOO_LARGE","200","","15674",".tmp/vela-f6/baseline-6-overflow-1788597011700.json","338c038c5b846af546b4ed455ec3f178d6c162292a49f3ee1c02aaf9e4118543"
"baseline","7","medium","inherited","inherited","inherited","1113","4348","4640","687","1263","3033","262155","1030","1030","451207","1801","1801","true","stop","262144","100.00","172.12","error","PROVIDER_RESPONSE_TOO_LARGE","200","","23076",".tmp/vela-f6/baseline-7-medium-1788597034779.json","28b7945a853d2381de4760b52c57c4b45cdeb3ebb62a5b5518146cbd2661e1e5"
"capacity","0","long","inherited","6144","8192","4557","11640","20104","337","548","1602","1242364","4895","4895","1242364","4895","4895","true","stop","4194304","29.62","29.62","text","","200","","88081",".tmp/vela-f6/capacity-0-long-1788597801881.json","598dd4c11612f81b782217d963554af0b885c00c476566c6a23d7db10aebe001"
"capacity","1","medium","inherited","6144","8192","1506","5707","6109","585","1051","2637","526068","2092","2092","526068","2092","2092","true","stop","4194304","12.54","12.54","text","","200","","35139",".tmp/vela-f6/capacity-1-medium-1788597837031.json","841e151ed4859531f662ef5571cedb82fdb87be2a355d42a51e2744303cd6847"
"final-accepted","0","short","inherited","6144","8192","820","3124","3794","52","95","279","222750","873","873","222750","873","873","true","stop","4194304","5.31","5.31","text","","200","","34793",".tmp/vela-f6/accepted-0-short-1788597958009.json","b326b1a2cc8eaa02cd5b1e70c1820a55837571e356e288a4a3e505a1c8a4a3a5"
